latitude,longitude,avg_temp_c
58.6167,-117.1667,-0.6419
52.9333,-118.0333,1.3000
50.5167,-114.0167,1.8619
49.35,-123.2,3.9710
53.0667,-121.5167,1.6290
70.4833,-68.5167,-1.0120
70.4833,-68.5167,-1.0346
51.6667,-110.2,0.4581
46.0167,-71.95,1.9371
43.1333,-80.7667,2.5333
46.5667,-72.7333,1.6645
55.3,-114.7833,0.5194
55.3,-114.7833,0.5097
47.9833,-66.3333,1.6032
49.2,-113.2833,1.9774
49.4667,-120.5167,2.0419
52.0,-112.8,1.1048
47.4167,-68.3167,1.1677
51.4833,-107.05,0.6034
49.4833,-111.4833,1.5905
52.6667,-101.1,0.8710
44.6,-79.4333,2.4548
47.8,-64.8333,2.0613
49.2833,-73.35,0.7897
50.2667,-117.8167,2.5806
51.3,-80.6167,0.8774
47.3333,-85.8333,2.6760
54.7167,-113.2833,0.2562
46.0833,-72.8333,1.8210
52.45,-113.75,0.6645
48.85,-72.55,0.9258
44.2667,-80.7167,2.4581
55.1,-117.2,0.9286
53.95,-110.5833,0.4476
48.2833,-67.5667,1.3565
52.1333,-119.2833,1.8871
49.9333,-101.2,0.7967
53.3667,-107.55,0.4226
52.1667,-106.7167,0.4774
46.0833,-74.55,1.7233
46.0333,-73.1167,2.1145
49.3667,-110.6833,1.7474
49.0667,-107.5833,0.6548
48.4167,-78.7333,1.2000
46.4833,-84.5167,2.2065
52.55,-114.4667,0.7143
67.5667,-139.8333,-2.9065
53.9667,-97.85,0.3774
49.0333,-122.3667,3.6839
42.05,-82.6667,2.7067
49.7833,-113.3833,2.0524
45.6167,-61.6833,2.5645
45.5667,-72.9167,2.1742
59.5667,-108.4833,-0.9233
49.6167,-95.2,1.1000
48.5667,-123.5333,3.6742
61.1333,-100.8833,-1.3000
45.95,-66.9,1.8548
48.7833,-123.1333,3.8161
48.2667,-70.1167,1.7032
55.2833,-127.1667,2.2871
50.9167,-109.5,0.5484
49.4833,-115.0667,1.8556
48.65,-93.4333,1.2581
53.3167,-110.0667,0.4323
49.9833,-110.2667,1.5524
50.3333,-105.5333,0.8968
49.0167,-118.2333,2.5194
44.15,-77.4,2.6774
53.3167,-110.0667,0.4194
45.0333,-80.3667,2.8259
54.2833,-130.45,3.5968
49.4,-98.3167,1.1645
51.15,-103.8833,0.5581
45.3667,-71.8167,2.1355
47.6167,-52.75,2.4065
45.6333,-72.1333,2.0903
52.55,-112.1167,0.9190
47.5667,-71.2333,0.7645
50.3,-122.7333,2.8000
45.5167,-73.4167,2.2355
46.9833,-71.8333,1.5500
49.05,-112.8167,1.9667
49.7,-103.8,0.7903
55.75,-120.1833,0.5161
64.05,-139.1333,-2.1581
61.1333,-122.85,-1.3593
53.4,-117.5333,1.2581
68.75,-133.5,-1.9714
48.95,-57.95,2.3355
49.1333,-113.8167,1.9387
50.15,-123.1167,2.7433
49.4667,-119.6,2.8900
54.2833,-112.9667,0.4762
61.1,-94.0667,-1.0194
50.4333,-104.6667,0.7267
49.1333,-111.65,1.8238
53.5667,-113.5167,0.8935
50.0167,-110.7167,1.2032
53.3,-113.6,0.5000
49.7333,-105.95,1.0290
46.8167,-74.1,1.2667
46.6833,-73.9167,1.4032
49.7833,-94.3667,1.0800
49.7833,-94.3833,1.0806
43.3,-79.9167,2.9226
53.3167,-113.5833,0.4935
49.2,-123.1833,3.8897
46.3333,-71.6667,1.7613
51.6667,-112.6833,0.9762
52.1833,-121.6833,2.0129
46.8167,-71.1,1.5500
54.7667,-101.8833,0.3452
45.1333,-79.4,2.2258
52.1833,-128.1167,3.9839
50.6,-112.9833,1.4000
51.15,-107.2667,0.7742
58.3833,-116.0333,-0.6194
48.1667,-57.3333,1.8935
49.1833,-123.1833,3.8533
52.1833,-122.05,1.8862
51.8667,-63.2833,0.0885
65.2167,-123.4333,-1.7645
64.05,-139.1333,-2.1065
53.2167,-105.6667,0.4742
49.7667,-74.5333,0.8871
50.0333,-110.7167,1.2000
44.4167,-75.85,2.5207
54.6833,-101.6833,0.3194
53.55,-114.1167,1.0548
63.6,-105.1333,-1.9700
46.2667,-76.0,1.6774
54.4,-126.6667,1.8455
47.35,-70.0333,1.7419
51.1833,-115.5667,1.4742
52.05,-118.5833,2.2355
45.4667,-73.75,2.3097
74.7167,-94.9833,-1.9069
53.1167,-111.1833,0.4286
74.7167,-94.9667,-1.8516
51.2,-115.55,1.4548
55.8,-97.8667,-0.0839
50.9333,-120.8,1.8452
54.6333,-113.3833,0.8714
48.95,-54.5667,2.1323
51.0333,-113.2833,1.4619
58.1833,-103.7,-0.6032
50.05,-112.1333,4.4667
50.1333,-122.95,2.6387
49.2,-122.6833,3.7767
50.65,-99.95,0.5323
46.3,-63.5833,2.2097
54.4167,-110.2833,0.3548
42.9667,-79.3333,2.8903
50.5,-98.0333,0.9161
45.2333,-81.6333,2.6839
45.1333,-74.35,2.3839
49.6333,-115.9667,1.9833
56.55,-61.6833,0.6733
49.9167,-97.25,1.0033
49.95,-119.3833,2.4800
46.7833,-71.2833,1.8129
49.1167,-122.7,3.8129
54.3667,-110.8667,0.5857
44.4,-79.6333,2.5581
48.9333,-54.5667,2.0345
45.5,-74.0667,2.1700
46.3,-72.0667,1.7129
61.0333,-137.05,0.4161
53.6833,-112.8667,0.6452
56.3167,-119.75,0.6905
42.8667,-80.55,2.7516
46.4833,-72.05,1.7323
49.6667,-120.3333,2.1097
46.8667,-70.8833,1.6887
67.1833,-130.2333,-2.4042
47.4333,-65.6,1.5581
82.5,-62.3333,-2.2161
44.6333,-79.5333,2.4387
45.8833,-82.5667,2.2645
58.7167,-98.5,-0.8897
52.1833,-113.1833,1.2762
52.7667,-108.25,0.3613
58.7,-98.5167,-0.7806
68.9167,-133.95,-1.6739
55.7833,-118.6667,0.5952
51.0833,-115.0667,1.6613
53.3333,-104.0,0.4677
45.4,-73.1333,2.2613
49.5667,-113.05,2.0190
53.4333,-91.7667,0.0968
49.8333,-64.3,1.4968
50.95,-107.15,0.6581
53.6667,-110.5833,0.5762
48.8,-78.2833,1.0565
49.4333,-108.9833,0.9903
51.9333,-113.5833,1.1190
60.7167,-135.0667,0.2000
60.7167,-135.0667,0.2000
45.9,-75.0833,1.8323
53.2167,-113.9,1.0190
46.7333,-70.0167,1.3323
43.7667,-81.7167,2.8767
49.1167,-110.4667,1.0207
54.7667,-112.0167,0.5484
49.8667,-111.7333,1.7143
61.9667,-127.2167,-1.4036
49.5167,-114.0,1.8452
60.7333,-135.1,0.2323
49.2667,-68.15,1.4161
47.0833,-70.7833,1.8161
53.8833,-122.6833,1.5806
64.1167,-117.3333,-2.0484
45.2833,-75.0667,2.1613
47.9167,-74.6167,1.0643
44.2333,-78.3667,2.5194
49.7333,-111.45,1.3677
46.35,-63.1667,2.3387
72.0,-125.25,-1.4194
45.5167,-75.7833,2.0484
43.9833,-80.75,2.4355
64.3167,-96.0,-1.7710
64.3,-96.0833,-1.7467
53.8833,-122.6667,1.6097
53.3833,-118.35,0.4875
49.3167,-102.1167,0.6821
50.0,-113.6333,1.6355
53.55,-114.1167,0.9548
50.2,-102.7333,0.7129
53.5667,-127.95,2.8710
50.1167,-97.1667,1.1500
58.4167,-130.0333,0.6923
50.1833,-113.8833,1.8267
66.8333,-108.0167,-1.6630
46.2833,-63.1333,2.4226
46.6667,-53.0833,2.6548
46.2833,-63.1167,2.3387
48.9333,-123.75,3.9161
51.2333,-112.9833,1.5286
47.8,-69.55,1.6355
52.65,-128.5167,3.7452
46.7167,-67.7167,1.9032
51.6667,-124.4,1.9333
65.75,-111.25,-2.0633
51.1,-100.05,0.8097
54.2833,-112.5,0.7667
49.3667,-121.5,3.3355
49.3667,-121.5,3.4167
49.3333,-124.9833,3.5581
49.1,-107.0167,0.6040
48.3833,-123.9167,4.2379
45.9167,-66.6167,2.0258
48.45,-123.3,4.0267
48.4333,-71.15,1.2536
52.1167,-110.1,0.7095
49.8333,-100.9333,0.7968
45.6833,-76.4333,1.8242
51.1,-100.05,0.8966
49.0167,-95.6,1.0903
50.05,-126.7833,3.9323
51.7833,-114.6833,0.9097
43.1667,-79.9333,2.6889
45.65,-61.3667,2.4581
51.2333,-117.7,1.6387
45.4333,-71.6833,1.9645
49.75,-84.1667,0.9032
49.2833,-122.8833,3.7290
57.2667,-117.3,0.0286
42.8833,-79.25,2.9387
49.0167,-122.7833,3.9581
43.4667,-80.3833,2.5613
44.2667,-79.3167,2.5742
49.1333,-112.05,1.3286
46.15,-70.7,1.7500
50.0667,-122.95,2.3226
49.2833,-121.2333,2.6903
46.8167,-71.9167,1.5629
49.8,-112.0333,1.8286
44.1167,-77.5333,2.6452
49.6333,-112.8,1.5581
45.8167,-71.9833,1.9597
51.7667,-114.0833,1.5095
51.8167,-111.6833,0.7381
46.3667,-74.7667,1.7177
65.1,-102.4333,-1.8522
52.1333,-119.2833,1.9355
49.05,-105.4833,1.0581
66.9833,-136.2167,-1.3885
61.25,-124.4667,-0.8241
44.7667,-63.8333,2.5516
64.2,-83.3667,-1.0448
68.6333,-95.85,-2.0419
48.5667,-71.3333,1.0274
49.6833,-112.75,1.9857
52.1167,-101.2333,0.7323
68.6333,-95.85,-2.0419
49.95,-125.2667,3.6065
49.7,-112.7667,1.6345
50.5167,-95.9833,1.0871
55.3,-123.1333,1.4452
45.1833,-76.1167,2.0677
45.3833,-75.7167,2.2097
45.3833,-75.7167,2.1645
44.8833,-63.5167,2.4839
50.7,-120.45,2.7032
52.9667,-111.0,0.2903
52.1167,-112.1667,0.9476
45.4167,-63.4667,2.3258
46.3667,-79.4167,1.7484
51.3833,-110.35,0.8286
54.5,-111.7,0.6524
46.9167,-55.3833,2.6000
65.2833,-126.8,-2.0724
51.3667,-114.1,1.6952
52.1833,-128.15,3.6679
49.5167,-117.4,2.5290
44.4333,-76.6833,2.3935
51.5333,-71.1167,-0.0032
45.4167,-64.35,2.4194
65.2833,-126.75,-2.0129
50.9667,-118.1833,2.4138
53.75,-73.6833,0.1484
49.25,-121.7667,3.6806
75.3833,-105.7167,-1.9786
46.0667,-70.9667,1.6290
43.25,-79.2167,3.1452
63.75,-68.55,-0.5000
50.5667,-103.9833,0.7548
63.75,-68.55,-0.4903
45.8833,-77.25,2.1065
52.3167,-114.4833,1.0143
46.25,-71.2167,1.5952
48.8167,-56.55,2.0355
47.5167,-52.7833,2.5032
50.3,-112.8667,1.8095
51.3,-116.9833,1.6548
50.8333,-112.05,0.9000
51.4167,-105.25,0.4613
56.2333,-120.7333,0.4200
46.2167,-70.5,1.6774
54.3,-113.5167,0.7238
46.1667,-60.05,2.6290
49.5167,-114.0,1.8548
51.25,-127.8333,4.1677
45.35,-80.05,2.4839
51.1833,-104.8667,0.5767
59.5667,-108.4833,-0.7581
52.7833,-112.4333,0.8429
53.0333,-112.8167,0.5161
46.35,-73.35,1.5694
53.75,-73.6833,0.2353
62.2,-133.3833,-0.6806
43.9167,-78.8833,2.7258
53.6333,-77.7,0.2419
46.2667,-73.0167,1.7484
58.7333,-94.0667,-0.5871
45.3833,-73.4333,2.1677
54.05,-128.6833,3.1857
52.75,-112.85,0.8810
51.25,-103.75,0.5323
49.2167,-111.1333,1.5762
46.2333,-72.65,2.0032
60.8333,-115.7833,-0.9452
60.8333,-115.7833,-0.9774
45.3167,-75.6667,2.0935
45.5333,-76.05,2.0710
49.7833,-119.7167,2.9871
42.45,-81.8833,2.7742
54.3833,-125.9667,1.3806
53.2667,-113.1667,0.9333
45.8,-74.05,1.8952
58.7667,-111.1167,-0.7484
