latitude,longitude,temp_c
50.3673,-62.8980,2.8182
50.3673,-61.0816,2.0538
50.3673,-59.2653,4.5209
50.3673,-57.4490,3.5940
50.3673,-55.6327,3.3231
50.3673,-53.8163,2.8626
50.3673,-52.0000,1.0727
51.2041,-141.0000,0.0000
51.2041,-139.1837,0.0001
51.2041,-137.3673,0.0086
51.2041,-135.5510,0.1766
51.2041,-133.7347,0.9669
51.2041,-131.9184,1.9668
51.2041,-130.1020,4.1814
51.2041,-128.2857,-0.5839
51.2041,-126.4694,-43.2059
51.2041,-124.6531,-149.7828
51.2041,-122.8367,-288.9985
51.2041,-121.0204,-127.1847
51.2041,-119.2041,-29.0251
51.2041,-117.3878,-12.3651
51.2041,-115.5714,-0.5047
51.2041,-113.7551,30.0964
51.2041,-111.9388,29.8410
51.2041,-110.1224,-7.4572
51.2041,-108.3061,-18.4267
51.2041,-106.4898,5.3339
51.2041,-104.6735,5.4671
51.2041,-102.8571,2.8175
51.2041,-101.0408,2.6788
51.2041,-99.2245,5.7408
51.2041,-97.4082,4.2997
51.2041,-95.5918,-2.1251
51.2041,-93.7755,0.0409
51.2041,-91.9592,0.8337
51.2041,-90.1429,-0.0547
51.2041,-88.3265,1.5944
51.2041,-86.5102,1.6519
51.2041,-84.6939,1.3752
51.2041,-82.8776,2.8432
51.2041,-81.0612,2.4914
51.2041,-79.2449,0.7911
51.2041,-77.4286,1.7346
51.2041,-75.6122,3.5287
51.2041,-73.7959,-11.7907
51.2041,-71.9796,-24.4817
51.2041,-70.1633,-15.7269
51.2041,-68.3469,-11.3453
51.2041,-66.5306,-3.4585
51.2041,-64.7143,0.7212
51.2041,-62.8980,2.0792
51.2041,-61.0816,1.6969
51.2041,-59.2653,2.7767
51.2041,-57.4490,2.0241
51.2041,-55.6327,2.1192
51.2041,-53.8163,1.3513
51.2041,-52.0000,0.4087
52.0408,-141.0000,0.0000
52.0408,-139.1837,0.0003
52.0408,-137.3673,0.0253
52.0408,-135.5510,0.4863
52.0408,-133.7347,2.3261
52.0408,-131.9184,4.1127
52.0408,-130.1020,5.4059
52.0408,-128.2857,-1.8373
52.0408,-126.4694,-35.6883
52.0408,-124.6531,-113.5405
52.0408,-122.8367,-225.2952
52.0408,-121.0204,-101.9548
52.0408,-119.2041,-32.2206
52.0408,-117.3878,-19.7714
52.0408,-115.5714,6.6224
52.0408,-113.7551,16.3688
52.0408,-111.9388,8.4835
52.0408,-110.1224,-19.4072
52.0408,-108.3061,-30.1607
52.0408,-106.4898,1.7588
52.0408,-104.6735,4.3576
52.0408,-102.8571,2.4303
52.0408,-101.0408,2.3789
52.0408,-99.2245,5.5516
52.0408,-97.4082,3.6675
52.0408,-95.5918,-3.1490
52.0408,-93.7755,-0.8429
52.0408,-91.9592,0.4131
52.0408,-90.1429,0.2161
52.0408,-88.3265,0.9246
52.0408,-86.5102,0.8405
52.0408,-84.6939,0.6619
52.0408,-82.8776,1.5502
52.0408,-81.0612,1.5429
52.0408,-79.2449,0.4606
52.0408,-77.4286,0.4015
52.0408,-75.6122,0.8466
52.0408,-73.7959,-4.7472
52.0408,-71.9796,-9.9119
52.0408,-70.1633,-6.1758
52.0408,-68.3469,-4.5542
52.0408,-66.5306,-0.8192
52.0408,-64.7143,0.6903
52.0408,-62.8980,1.2522
52.0408,-61.0816,1.2941
52.0408,-59.2653,1.5350
52.0408,-57.4490,1.1127
52.0408,-55.6327,1.3414
52.0408,-53.8163,0.5577
52.0408,-52.0000,0.1115
52.8776,-141.0000,0.0000
52.8776,-139.1837,0.0006
52.8776,-137.3673,0.0526
52.8776,-135.5510,0.9675
52.8776,-133.7347,4.1216
52.8776,-131.9184,6.4832
52.8776,-130.1020,7.4376
52.8776,-128.2857,3.2058
52.8776,-126.4694,-13.2300
52.8776,-124.6531,-47.5489
52.8776,-122.8367,-112.9118
52.8776,-121.0204,-62.5268
52.8776,-119.2041,-31.8838
52.8776,-117.3878,-17.8995
52.8776,-115.5714,15.8572
52.8776,-113.7551,21.0016
52.8776,-111.9388,10.8081
52.8776,-110.1224,-12.1305
52.8776,-108.3061,-19.7410
52.8776,-106.4898,3.2713
52.8776,-104.6735,3.4447
52.8776,-102.8571,1.9790
52.8776,-101.0408,1.9498
52.8776,-99.2245,4.0960
52.8776,-97.4082,2.5672
52.8776,-95.5918,-2.4096
52.8776,-93.7755,-0.9709
52.8776,-91.9592,0.1175
52.8776,-90.1429,0.3355
52.8776,-88.3265,0.5211
52.8776,-86.5102,0.3703
52.8776,-84.6939,0.2312
52.8776,-82.8776,0.5880
52.8776,-81.0612,0.7232
52.8776,-79.2449,0.3253
52.8776,-77.4286,0.2001
52.8776,-75.6122,0.2133
52.8776,-73.7959,-1.3620
52.8776,-71.9796,-3.0051
52.8776,-70.1633,-1.6905
52.8776,-68.3469,-1.1152
52.8776,-66.5306,0.0238
52.8776,-64.7143,0.3162
52.8776,-62.8980,0.6031
52.8776,-61.0816,1.0481
52.8776,-59.2653,0.9793
52.8776,-57.4490,0.6334
52.8776,-55.6327,0.7733
52.8776,-53.8163,0.2337
52.8776,-52.0000,0.0232
53.7143,-141.0000,0.0000
53.7143,-139.1837,0.0009
53.7143,-137.3673,0.0778
53.7143,-135.5510,1.3826
53.7143,-133.7347,5.3637
53.7143,-131.9184,7.5804
53.7143,-130.1020,8.4568
53.7143,-128.2857,6.7942
53.7143,-126.4694,1.0862
53.7143,-124.6531,-5.2123
53.7143,-122.8367,-30.8661
53.7143,-121.0204,-26.0587
53.7143,-119.2041,-22.2417
53.7143,-117.3878,-8.6679
53.7143,-115.5714,17.8686
53.7143,-113.7551,34.7550
53.7143,-111.9388,30.7717
53.7143,-110.1224,8.7637
53.7143,-108.3061,-4.4671
53.7143,-106.4898,4.3098
53.7143,-104.6735,2.3516
53.7143,-102.8571,1.3993
53.7143,-101.0408,1.1562
53.7143,-99.2245,2.1373
53.7143,-97.4082,1.2906
53.7143,-95.5918,-1.3110
53.7143,-93.7755,-0.7284
53.7143,-91.9592,-0.0355
53.7143,-90.1429,0.2321
53.7143,-88.3265,0.2176
53.7143,-86.5102,0.1126
53.7143,-84.6939,0.0560
53.7143,-82.8776,0.1630
53.7143,-81.0612,0.2658
53.7143,-79.2449,0.2283
53.7143,-77.4286,0.2266
53.7143,-75.6122,0.1495
53.7143,-73.7959,-0.1798
53.7143,-71.9796,-0.7292
53.7143,-70.1633,-0.4192
53.7143,-68.3469,-0.2177
53.7143,-66.5306,-0.0226
53.7143,-64.7143,0.0200
53.7143,-62.8980,0.2999
53.7143,-61.0816,0.8934
53.7143,-59.2653,0.7202
53.7143,-57.4490,0.3284
53.7143,-55.6327,0.3487
53.7143,-53.8163,0.0940
53.7143,-52.0000,0.0049
54.5510,-141.0000,0.0000
54.5510,-139.1837,0.0013
54.5510,-137.3673,0.0836
54.5510,-135.5510,1.4137
54.5510,-133.7347,5.1092
54.5510,-131.9184,6.6996
54.5510,-130.1020,7.6909
54.5510,-128.2857,7.1026
54.5510,-126.4694,4.9681
54.5510,-124.6531,6.2370
54.5510,-122.8367,0.5085
54.5510,-121.0204,-6.0121
54.5510,-119.2041,-10.1523
54.5510,-117.3878,-2.2032
54.5510,-115.5714,15.1373
54.5510,-113.7551,62.5801
54.5510,-111.9388,66.5587
54.5510,-110.1224,33.8399
54.5510,-108.3061,7.3058
54.5510,-106.4898,3.2307
54.5510,-104.6735,1.1392
54.5510,-102.8571,0.7616
54.5510,-101.0408,-0.1000
54.5510,-99.2245,0.3380
54.5510,-97.4082,0.3717
54.5510,-95.5918,-0.6993
54.5510,-93.7755,-0.4971
54.5510,-91.9592,-0.0706
54.5510,-90.1429,0.0921
54.5510,-88.3265,-0.0167
54.5510,-86.5102,-0.0478
54.5510,-84.6939,-0.0018
54.5510,-82.8776,0.0340
54.5510,-81.0612,0.0790
54.5510,-79.2449,0.1386
54.5510,-77.4286,0.1927
54.5510,-75.6122,0.1221
54.5510,-73.7959,0.0726
54.5510,-71.9796,-0.1450
54.5510,-70.1633,-0.1257
54.5510,-68.3469,-0.1080
54.5510,-66.5306,-0.1496
54.5510,-64.7143,-0.0720
54.5510,-62.8980,0.2623
54.5510,-61.0816,0.7581
54.5510,-59.2653,0.5014
54.5510,-57.4490,0.1435
54.5510,-55.6327,0.1138
54.5510,-53.8163,0.0302
54.5510,-52.0000,0.0013
55.3878,-141.0000,0.0000
55.3878,-139.1837,0.0035
55.3878,-137.3673,0.0778
55.3878,-135.5510,1.0451
55.3878,-133.7347,3.5737
55.3878,-131.9184,4.8975
55.3878,-130.1020,6.5353
55.3878,-128.2857,5.9334
55.3878,-126.4694,4.2619
55.3878,-124.6531,4.4661
55.3878,-122.8367,4.6352
55.3878,-121.0204,0.6847
55.3878,-119.2041,-2.4635
55.3878,-117.3878,-0.3340
55.3878,-115.5714,15.8275
55.3878,-113.7551,92.0708
55.3878,-111.9388,96.9037
55.3878,-110.1224,48.5848
55.3878,-108.3061,13.0916
55.3878,-106.4898,1.7383
55.3878,-104.6735,0.1082
55.3878,-102.8571,0.3425
55.3878,-101.0408,-1.2138
55.3878,-99.2245,-1.0189
55.3878,-97.4082,-0.1620
55.3878,-95.5918,-0.5776
55.3878,-93.7755,-0.4253
55.3878,-91.9592,-0.0759
55.3878,-90.1429,-0.0023
55.3878,-88.3265,-0.1703
55.3878,-86.5102,-0.1482
55.3878,-84.6939,-0.0221
55.3878,-82.8776,0.0050
55.3878,-81.0612,0.0195
55.3878,-79.2449,0.0651
55.3878,-77.4286,0.1073
55.3878,-75.6122,0.0608
55.3878,-73.7959,0.0221
55.3878,-71.9796,-0.0582
55.3878,-70.1633,-0.0466
55.3878,-68.3469,-0.0897
55.3878,-66.5306,-0.1619
55.3878,-64.7143,-0.0413
55.3878,-62.8980,0.3628
55.3878,-61.0816,0.6983
55.3878,-59.2653,0.3256
55.3878,-57.4490,0.0551
55.3878,-55.6327,0.0264
55.3878,-53.8163,0.0070
55.3878,-52.0000,0.0003
56.2245,-141.0000,-0.0001
